grupo_funcional,nome_cientifico,nome_popular,uso_funcional,observacoes
Pioneira,Amburana cearensis,Amburana,Fauna/aromática,Semente dispersão por vento
Pioneira,Anadenanthera colubrina,Angico,Fixação N parcial/Sombra,Boa para solos pobres
Pioneira,Mimosa tenuiflora,Jurema-preta,Fixação N/Recuperação,Rebrota fácil pós-fogo
Pioneira,Cnidoscolus quercifolius,Faveleira,Fauna/semente oleosa,Atrai aves
Secundária inicial,Schinopsis brasiliensis,Baraúna,Madeira/estrutural,Longevidade
Secundária inicial,Myracrodruon urundeuva,Aroeira-do-sertão,Madeira/medicinal,Suscetível a exploração
Secundária tardia,Cereus jamacaru,Cardeiro,Fauna/refúgio,Epífita suporte
Secundária tardia,Sideroxylon obtusifolium,Quixabeira,Fauna/frutos,Sombramento parcial
Clímax,Ziziphus joazeiro,Juazeiro,Fauna/sombra,Perenifólia
Clímax,Copaifera luetzelburgii,Copaíba,Resina/fauna,Exige proteção inicial
Leguminosa fixadora,Libidibia ferrea,Pau-ferro,Fertilidade/Ciclagem,Crescimento moderado
Leguminosa fixadora,Piptadenia stipulacea,Jurema-branca,Fixação N,Transição c/ Mata Atlântica
Frutífera fauna,Spondias tuberosa,Umbuzeiro,Fauna/fruto,Importante para fauna de seca
Frutífera fauna,Mangifera indica,Mangueira,Fruto/sombra,Exótica – usar com parcimônia
Atratora polinizadores,Croton blanchetianus,Marmeleiro,Polinizadores/Fauna,Floradas abundantes
Atratora polinizadores,Maytenus rigida,Buçaneiro,Insetos/fauna,Longevidade alta
